1063?Agglomerate slabs?Marble, Stone, Granite - Surface Materials - Architecture - Design
1128?Stones?Marble, Stone, Granite - Surface Materials - Architecture - Design
1034?Street kerbs?Marble, Stone, Granite - Surface Materials - Architecture - Design
1126?Structural stone?Marble, Stone, Granite - Surface Materials - Architecture - Design
1078?Tiles?Marble, Stone, Granite - Surface Materials - Architecture - Design
1062?Tombstones?Marble, Stone, Granite - Surface Materials - Architecture - Design
1116?Trachyte paving/flooring and cladding?Marble, Stone, Granite - Surface Materials - Architecture - Design
1158?Trachyte paving/flooring and cladding?Marble, Stone, Granite - Surface Materials - Architecture - Design
1159?Travertine?Marble, Stone, Granite - Surface Materials - Architecture - Design
1117?Travertine paving/flooring and cladding?Marble, Stone, Granite - Surface Materials - Architecture - Design
1161?Tufa/tuff?Marble, Stone, Granite - Surface Materials - Architecture - Design
1009?Urban furnishing?Marble, Stone, Granite - Surface Materials - Architecture - Design
1071?Various wash basins/sinks?Marble, Stone, Granite - Surface Materials - Architecture - Design
1038?Window ledges?Marble, Stone, Granite - Surface Materials - Architecture - Design
1154?Work benches?Marble, Stone, Granite - Surface Materials - Architecture - Design
3004?Antivibration bushings?Machinery - Plant - Natural stone processing technologies
3226?Automatic and semiautomatic sintering machines?Machinery - Plant - Natural stone processing technologies
3212?Automatic and semi-automatic welders for blades and disks?Machinery - Plant - Natural stone processing technologies
3216?Automatic carving machines?Machinery - Plant - Natural stone processing technologies
3136?Automatic cutting lines?Machinery - Plant - Natural stone processing technologies
3110?Automatic equipment for tile-making?Machinery - Plant - Natural stone processing technologies
3135?Automatic grading lines?Machinery - Plant - Natural stone processing technologies
3132?Automatic honing-polishing machines?Machinery - Plant - Natural stone processing technologies
3176?Automatic palletising systems?Machinery - Plant - Natural stone processing technologies
3142?Automatic polishers?Machinery - Plant - Natural stone processing technologies
3053?Automatic pre die-cut packaging machines?Machinery - Plant - Natural stone processing technologies
3195?Automatic presses?Machinery - Plant - Natural stone processing technologies
3134?Automatic resin-finishing lines?Machinery - Plant - Natural stone processing technologies
3214?Automatic slab unloaders?Machinery - Plant - Natural stone processing technologies
3119?Automatic slab washing plant?Machinery - Plant - Natural stone processing technologies
3184?Automatic weighing machines?Machinery - Plant - Natural stone processing technologies
3049?Automation components?Machinery - Plant - Natural stone processing technologies
3023?Bas - reliefs?Machinery - Plant - Natural stone processing technologies
3033?Beading/edging and shaping machines?Machinery - Plant - Natural stone processing technologies
3231?Belt grinders?Machinery - Plant - Natural stone processing technologies
3141?Belt polishers?Machinery - Plant - Natural stone processing technologies
3127?Belt-driven planing machines?Machinery - Plant - Natural stone processing technologies
3233?Bevelling machines?Machinery - Plant - Natural stone processing technologies
3252?Block cutting machines?Machinery - Plant - Natural stone processing technologies
3246?Block squaring machines?Machinery - Plant - Natural stone processing technologies
3038?Block-carrying trolleys?Machinery - Plant - Natural stone processing technologies
3182?Bore hammer drills?Machinery - Plant - Natural stone processing technologies
3099?Bridge cranes?Machinery - Plant - Natural stone processing technologies
3089?Bridge drills?Machinery - Plant - Natural stone processing technologies
3128?Bridge-type planing machines?Machinery - Plant - Natural stone processing technologies
3241?Brushing machines?Machinery - Plant - Natural stone processing technologies
3001?Bushhammer grinders?Machinery - Plant - Natural stone processing technologies
3030?Bushhammering and shaping machines?Machinery - Plant - Natural stone processing technologies
3031?Bushhammers?Machinery - Plant - Natural stone processing technologies
3254?Chain cutters?Machinery - Plant - Natural stone processing technologies
3028?Chamfering machines?Machinery - Plant - Natural stone processing technologies
3045?CNC - Numerical control machining centres?Machinery - Plant - Natural stone processing technologies
3051?Compressors?Machinery - Plant - Natural stone processing technologies
3228?Computerized systems?Machinery - Plant - Natural stone processing technologies
3218?Contouring machines?Machinery - Plant - Natural stone processing technologies
3172?Conveyor belts?Machinery - Plant - Natural stone processing technologies
3017?Crane trucks?Machinery - Plant - Natural stone processing technologies
3125?Cross-cutting / heading machines?Machinery - Plant - Natural stone processing technologies
3083?Crushing mills?Machinery - Plant - Natural stone processing technologies
3258?Cutters?Machinery - Plant - Natural stone processing technologies
3059?Decantation systems?Machinery - Plant - Natural stone processing technologies
3244?Decorating machines?Machinery - Plant - Natural stone processing technologies
3065?Derricks?Machinery - Plant - Natural stone processing technologies
3255?Diamond belt cutting machines?Machinery - Plant - Natural stone processing technologies
3256?Diamond wire cutting machines?Machinery - Plant - Natural stone processing technologies
3075?Diamond wire production machines?Machinery - Plant - Natural stone processing technologies
3156?Drilling machines for quarries?Machinery - Plant - Natural stone processing technologies
3273?Drills for anchor holes?Machinery - Plant - Natural stone processing technologies
3071?Dumpers?Machinery - Plant - Natural stone processing technologies
3147?Earth moving machinery?Machinery - Plant - Natural stone processing technologies
3138?Edge-polishing machines?Machinery - Plant - Natural stone processing technologies
3055?Edging machines?Machinery - Plant - Natural stone processing technologies
3164?Electric motors?Machinery - Plant - Natural stone processing technologies
3006?Electrical and electronic equipment?Machinery - Plant - Natural stone processing technologies
3191?Electro-hydraulic pumps?Machinery - Plant - Natural stone processing technologies
3229?Electronic dimension and thickness control systems?Machinery - Plant - Natural stone processing technologies
3166?Endothermic motors?Machinery - Plant - Natural stone processing technologies
3116?Feed systems for marble and granite gang saws?Machinery - Plant - Natural stone processing technologies
3077?Filter presses?Machinery - Plant - Natural stone processing technologies
3111?Final assembly line systems (selection, packing, pallet & warehousing)?Machinery - Plant - Natural stone processing technologies
3224?Flame machines?Machinery - Plant - Natural stone processing technologies
3130?Floor honing machines?Machinery - Plant - Natural stone processing technologies
3037?Fork lift trucks?Machinery - Plant - Natural stone processing technologies
3098?Gantry cranes?Machinery - Plant - Natural stone processing technologies
3035?Gauging/calibrating  machines?Machinery - Plant - Natural stone processing technologies
3168?Gear reduction motors?Machinery - Plant - Natural stone processing technologies
3102?Generators?Machinery - Plant - Natural stone processing technologies
3140?Hand-held polishers?Machinery - Plant - Natural stone processing technologies
3109?Helicoidal wire saws?Machinery - Plant - Natural stone processing technologies
3149?High-pressure water-jet cutting machines?Machinery - Plant - Natural stone processing technologies
3155?Hoisting and handling machinery?Machinery - Plant - Natural stone processing technologies
3091?Hot air generators?Machinery - Plant - Natural stone processing technologies
3100?Hydraulic cranes?Machinery - Plant - Natural stone processing technologies
3069?Hydraulic devices?Machinery - Plant - Natural stone processing technologies
3073?Hydraulic excavators?Machinery - Plant - Natural stone processing technologies
3265?Hydraulic saw blade stretchers?Machinery - Plant - Natural stone processing technologies
3242?Industrial brushes?Machinery - Plant - Natural stone processing technologies
3279?Industrial vehicles - quarry-site?Machinery - Plant - Natural stone processing technologies
3281?Industrial ventilators?Machinery - Plant - Natural stone processing technologies
3158?Jacks?Machinery - Plant - Natural stone processing technologies
3097?Jib cranes?Machinery - Plant - Natural stone processing technologies
3088?Jib drills?Machinery - Plant - Natural stone processing technologies
3290?Knurling machines?Machinery - Plant - Natural stone processing technologies
3007?Laser equipment?Machinery - Plant - Natural stone processing technologies
3271?Lathes?Machinery - Plant - Natural stone processing technologies
3160?Lifting devices?Machinery - Plant - Natural stone processing technologies
3188?Lifting pincers?Machinery - Plant - Natural stone processing technologies
3019?Loading / unloading automation systems?Machinery - Plant - Natural stone processing technologies
3174?Loading shovels (loaders)?Machinery - Plant - Natural stone processing technologies
3015?Lubrication equipment?Machinery - Plant - Natural stone processing technologies
3152?Machinery for the processing of precious and semi-precious stones?Machinery - Plant - Natural stone processing technologies
3151?Machines for ageing stones?Machinery - Plant - Natural stone processing technologies
3024?Machines for bas-reliefs?Machinery - Plant - Natural stone processing technologies
3150?Machines for engraving letters and figures?Machinery - Plant - Natural stone processing technologies
3153?Machines for installation of pavings?Machinery - Plant - Natural stone processing technologies
3154?Machines to produce strips and small tiles?Machinery - Plant - Natural stone processing technologies
3129?Manual, portable planing machines?Machinery - Plant - Natural stone processing technologies
3061?Marble powder depuration systems?Machinery - Plant - Natural stone processing technologies
3063?Marble waste water treatment plants?Machinery - Plant - Natural stone processing technologies
3085?Milling machines?Machinery - Plant - Natural stone processing technologies
3162?Motor pumps?Machinery - Plant - Natural stone processing technologies
3145?Multi/mono diamond wire machines?Machinery - Plant - Natural stone processing technologies
3263?Multiblade and single-blade diamond-studded saws?Machinery - Plant - Natural stone processing technologies
3260?Noise protection and powder control technologies?Machinery - Plant - Natural stone processing technologies
3144?Numerical control automatic machinery centres?Machinery - Plant - Natural stone processing technologies
3210?Numerical control diamond wire shaping machines?Machinery - Plant - Natural stone processing technologies
3013?Oleodynamic equipment and components?Machinery - Plant - Natural stone processing technologies
3237?Oleodynamic rock splitters?Machinery - Plant - Natural stone processing technologies
3041?Overhead cranes?Machinery - Plant - Natural stone processing technologies
3205?Palletizing robots?Machinery - Plant - Natural stone processing technologies
3180?Pantographs?Machinery - Plant - Natural stone processing technologies
3114?Plant and technology for the manufacture of diamond tools?Machinery - Plant - Natural stone processing technologies
3086?Portable milling machines?Machinery - Plant - Natural stone processing technologies
3117?Pressurised equipment for natural stone finishing?Machinery - Plant - Natural stone processing technologies
3192?Pumps for abrasive pulp?Machinery - Plant - Natural stone processing technologies
3014?Quarry equipment?Machinery - Plant - Natural stone processing technologies
3148?Restauration and cleaning equipment?Machinery - Plant - Natural stone processing technologies
3112?Rubble crushing and conveying plant?Machinery - Plant - Natural stone processing technologies
3121?Sackers for powders and Sackers for powders and granulates?Machinery - Plant - Natural stone processing technologies
3207?Sandblasting machines?Machinery - Plant - Natural stone processing technologies
3275?Saw frame transformations?Machinery - Plant - Natural stone processing technologies
3222?Sawing machines?Machinery - Plant - Natural stone processing technologies
3026?Scales / Weighing instruments?Machinery - Plant - Natural stone processing technologies
3093?Scratchers?Machinery - Plant - Natural stone processing technologies
3209?Shaping machines?Machinery - Plant - Natural stone processing technologies
3002?Sharpeners for tools?Machinery - Plant - Natural stone processing technologies
3095?Shot systems?Machinery - Plant - Natural stone processing technologies
3039?Slab-carrying trolleys?Machinery - Plant - Natural stone processing technologies
3067?Sludge dehydrators - filters?Machinery - Plant - Natural stone processing technologies
3123?Soundproofing?Machinery - Plant - Natural stone processing technologies
3103?Spindle units?Machinery - Plant - Natural stone processing technologies
3220?Splitters for cladding?Machinery - Plant - Natural stone processing technologies
3239?Splitting saws?Machinery - Plant - Natural stone processing technologies
3118?Stone material agglomerate production plant?Machinery - Plant - Natural stone processing technologies
3113?Storage plant?Machinery - Plant - Natural stone processing technologies
3199?Strapping machines?Machinery - Plant - Natural stone processing technologies
3250?Stucco machines?Machinery - Plant - Natural stone processing technologies
3193?Submerged pumps?Machinery - Plant - Natural stone processing technologies
3021?Suction benches?Machinery - Plant - Natural stone processing technologies
3079?Suction core-barrel perforating machines?Machinery - Plant - Natural stone processing technologies
3235?Suction hoists for slabs and other finished products?Machinery - Plant - Natural stone processing technologies
3011?Suction systems?Machinery - Plant - Natural stone processing technologies
3269?Tie rods?Machinery - Plant - Natural stone processing technologies
3201?Tile tippers?Machinery - Plant - Natural stone processing technologies
3262?Traditional gangsaws?Machinery - Plant - Natural stone processing technologies
3197?Trimming machines?Machinery - Plant - Natural stone processing technologies
3267?Turnbuckles?Machinery - Plant - Natural stone processing technologies
3081?Uv-rays dryers for resin process?Machinery - Plant - Natural stone processing technologies
3285?Wagon drills?Machinery - Plant - Natural stone processing technologies
3043?Waste collecton skips?Machinery - Plant - Natural stone processing technologies
3146?Waterblasting for restoration of delicate surfaces?Machinery - Plant - Natural stone processing technologies
3105?Water-jet cleaning machines?Machinery - Plant - Natural stone processing technologies
3288?Water-jet for engraving/cutting slabs?Machinery - Plant - Natural stone processing technologies
3287?Water-jet for quarries?Machinery - Plant - Natural stone processing technologies
3107?Water-spray sand blasters?Machinery - Plant - Natural stone processing technologies
3047?Waxing machines?Machinery - Plant - Natural stone processing technologies
3009?Winches?Machinery - Plant - Natural stone processing technologies
3190?Worm-screw pumps?Machinery - Plant - Natural stone processing technologies
2103?Abrasive belts?Abrasives - Diamond Tools - Chemical Products - Accessories
2040?Abrasive discs?Abrasives - Diamond Tools - Chemical Products - Accessories
2100?Abrasive grindwheels?Abrasives - Diamond Tools - Chemical Products - Accessories
2139?Abrasive sands?Abrasives - Diamond Tools - Chemical Products - Accessories
2003?Abrasives?Abrasives - Diamond Tools - Chemical Products - Accessories
2006?Accessories?Abrasives - Diamond Tools - Chemical Products - Accessories
2008?Additives for abrasive mixtures?Abrasives - Diamond Tools - Chemical Products - Accessories
2010?Adhesives?Abrasives - Diamond Tools - Chemical Products - Accessories
2036?Air-operated cushions?Abrasives - Diamond Tools - Chemical Products - Accessories
2012?Anchorage systems?Abrasives - Diamond Tools - Chemical Products - Accessories
2068?Bronze artistic products?Abrasives - Diamond Tools - Chemical Products - Accessories
2022?Chains and chain casings?Abrasives - Diamond Tools - Chemical Products - Accessories
2119?Chemical products?Abrasives - Diamond Tools - Chemical Products - Accessories
2142?Chisels?Abrasives - Diamond Tools - Chemical Products - Accessories
2062?Clamps for marble cladding?Abrasives - Diamond Tools - Chemical Products - Accessories
2032?Containers and packaging for marble products?Abrasives - Diamond Tools - Chemical Products - Accessories
2055?Continuous and ventilated facades?Abrasives - Diamond Tools - Chemical Products - Accessories
2094?Demolition hammers?Abrasives - Diamond Tools - Chemical Products - Accessories
2038?Detergents?Abrasives - Diamond Tools - Chemical Products - Accessories
2004?Diamond abrasives?Abrasives - Diamond Tools - Chemical Products - Accessories
2088?Diamond blades?Abrasives - Diamond Tools - Chemical Products - Accessories
2064?Diamond compass saws?Abrasives - Diamond Tools - Chemical Products - Accessories
2034?Diamond core bits for drilling?Abrasives - Diamond Tools - Chemical Products - Accessories
2041?Diamond disks?Abrasives - Diamond Tools - Chemical Products - Accessories
2107?Diamond faceplates?Abrasives - Diamond Tools - Chemical Products - Accessories
2137?Diamond gouge rollers?Abrasives - Diamond Tools - Chemical Products - Accessories
2101?Diamond grindwheels?Abrasives - Diamond Tools - Chemical Products - Accessories
2057?Diamond wire?Abrasives - Diamond Tools - Chemical Products - Accessories
2060?Drill bits?Abrasives - Diamond Tools - Chemical Products - Accessories
2028?Drive belts?Abrasives - Diamond Tools - Chemical Products - Accessories
2156?Electric drills?Abrasives - Diamond Tools - Chemical Products - Accessories
2133?Epoxy resins?Abrasives - Diamond Tools - Chemical Products - Accessories
2045?Felt discs for polishing marble, stone and granite?Abrasives - Diamond Tools - Chemical Products - Accessories
2043?Flexible discs?Abrasives - Diamond Tools - Chemical Products - Accessories
2072?Flexible joints?Abrasives - Diamond Tools - Chemical Products - Accessories
2161?Flywheels/pulleys for diamond wire?Abrasives - Diamond Tools - Chemical Products - Accessories
2030?Glues and special mastics?Abrasives - Diamond Tools - Chemical Products - Accessories
2127?Guards and anti-damp impregnations products?Abrasives - Diamond Tools - Chemical Products - Accessories
2129?Hard metal bits?Abrasives - Diamond Tools - Chemical Products - Accessories
2066?Hard metal cutters?Abrasives - Diamond Tools - Chemical Products - Accessories
2058?Helicoidal wire?Abrasives - Diamond Tools - Chemical Products - Accessories
2070?Hoisting hooks?Abrasives - Diamond Tools - Chemical Products - Accessories
2020?Hoods, masks and goggles?Abrasives - Diamond Tools - Chemical Products - Accessories
2095?Hydraulic hammers?Abrasives - Diamond Tools - Chemical Products - Accessories
2082?Impregnation and protective products?Abrasives - Diamond Tools - Chemical Products - Accessories
2084?Inserts per chain cutters?Abrasives - Diamond Tools - Chemical Products - Accessories
2053?Iron display stands for marble and granite?Abrasives - Diamond Tools - Chemical Products - Accessories
2117?Laying floors, linings?Abrasives - Diamond Tools - Chemical Products - Accessories
2026?Liquid and paste waxes?Abrasives - Diamond Tools - Chemical Products - Accessories
2090?Lubricants?Abrasives - Diamond Tools - Chemical Products - Accessories
2092?Marble and granite polishes?Abrasives - Diamond Tools - Chemical Products - Accessories
2098?Mastics?Abrasives - Diamond Tools - Chemical Products - Accessories
2144?Metal grit separators?Abrasives - Diamond Tools - Chemical Products - Accessories
2131?Metal hoops?Abrasives - Diamond Tools - Chemical Products - Accessories
2074?Metal shot?Abrasives - Diamond Tools - Chemical Products - Accessories
2049?Metal shot dosing systems?Abrasives - Diamond Tools - Chemical Products - Accessories
2105?Moulded plastic products?Abrasives - Diamond Tools - Chemical Products - Accessories
2126?Noise guards and headsets?Abrasives - Diamond Tools - Chemical Products - Accessories
2078?Packing?Abrasives - Diamond Tools - Chemical Products - Accessories
2096?Pneumatic hammers?Abrasives - Diamond Tools - Chemical Products - Accessories
2140?Porphyry sands and grits?Abrasives - Diamond Tools - Chemical Products - Accessories
2123?Protection and water-repellent agents?Abrasives - Diamond Tools - Chemical Products - Accessories
2018?Raised letters?Abrasives - Diamond Tools - Chemical Products - Accessories
2086?Saw blades?Abrasives - Diamond Tools - Chemical Products - Accessories
2146?Sealants?Abrasives - Diamond Tools - Chemical Products - Accessories
2148?Silentblock?Abrasives - Diamond Tools - Chemical Products - Accessories
2109?Sintering powders?Abrasives - Diamond Tools - Chemical Products - Accessories
2113?Slab carriers?Abrasives - Diamond Tools - Chemical Products - Accessories
2047?Spacers?Abrasives - Diamond Tools - Chemical Products - Accessories
2135?Spare, parts, components and accessories?Abrasives - Diamond Tools - Chemical Products - Accessories
2159?Special diamond tools?Abrasives - Diamond Tools - Chemical Products - Accessories
2024?Steel cables?Abrasives - Diamond Tools - Chemical Products - Accessories
2014?Steel cores?Abrasives - Diamond Tools - Chemical Products - Accessories
2121?Stone cleaning and anti-graffiti products?Abrasives - Diamond Tools - Chemical Products - Accessories
2154?Stucco?Abrasives - Diamond Tools - Chemical Products - Accessories
2124?Surface protectives for external walls?Abrasives - Diamond Tools - Chemical Products - Accessories
2080?Tackle and safety belts?Abrasives - Diamond Tools - Chemical Products - Accessories
2001?Technical and safety garments?Abrasives - Diamond Tools - Chemical Products - Accessories
2115?Tool loaders for engraving-machines?Abrasives - Diamond Tools - Chemical Products - Accessories
2158?Tools?Abrasives - Diamond Tools - Chemical Products - Accessories
2076?Water-repellent and dewatering products?Abrasives - Diamond Tools - Chemical Products - Accessories
2016?Work safety and protection products?Abrasives - Diamond Tools - Chemical Products - Accessories
4040?Architectural design software?Services - Institutions - Publishers - Information Technology
4001?Assistance / consulting / training / studies?Services - Institutions - Publishers - Information Technology
4005?Assistance / consulting in cutting centres or workshops?Services - Institutions - Publishers - Information Technology
4007?Associations?Services - Institutions - Publishers - Information Technology
4010?Banks, insurance companies, credit institutions?Services - Institutions - Publishers - Information Technology
4009?Databases?Services - Institutions - Publishers - Information Technology
4046?Design studios?Services - Institutions - Publishers - Information Technology
4026?Hire of machines and equipment?Services - Institutions - Publishers - Information Technology
4047?Information offices?Services - Institutions - Publishers - Information Technology
4020?Information technology?Services - Institutions - Publishers - Information Technology
4016?Institutions and organizations?Services - Institutions - Publishers - Information Technology
4022?Institutions and professional orders?Services - Institutions - Publishers - Information Technology
4030?Internet services?Services - Institutions - Publishers - Information Technology
4032?Leasing and financial assistance?Services - Institutions - Publishers - Information Technology
4028?Portals, services and on-line publishing?Services - Institutions - Publishers - Information Technology
4018?Professional training; - see assistance?Services - Institutions - Publishers - Information Technology
4024?Research & development laboratories?Services - Institutions - Publishers - Information Technology
4034?Services for the marble industry?Services - Institutions - Publishers - Information Technology
4041?Software for marble machining?Services - Institutions - Publishers - Information Technology
4039?Software for the stone industry?Services - Institutions - Publishers - Information Technology
4003?Technical assistance / consulting in quarries?Services - Institutions - Publishers - Information Technology
4045?Technical press?Services - Institutions - Publishers - Information Technology
4014?Trade press?Services - Institutions - Publishers - Information Technology
4049?Universities - architecture / engineering / design?Services - Institutions - Publishers - Information Technology
